provider_id,provider_type,iqvia_rxer_id,primary_specialty_code,primary_specialty_desc,first_name,last_name,org_nm,address,city,state_code,zip_code,phone_number,dea_number,me_number,npi_number,dx_census_flag
2329081,1,,CSW,CLINICAL SOCIAL WORKER,LUCY,TURNER,,400 ADDRESS AVE,NEW YORK,MS,39531,,,,6894161561,3
2252757,1,,CSW,CLINICAL SOCIAL WORKER,HELEN,MILLER,,14671 STREET AVE,NEWARK,MT,59102,6676136142,,,1760552186,3
2326297,1,,PHTH,PHYSICAL THERAPY,JOHN,FRANKLIN,,800 BEAVERI RD,LONGHILLS,MI,48304,264963165,,,1780899039,3
2462937,1,,CSW,CLINICAL SOCIAL WORKER,RUBY,YANG,,PO BOX 124621,MORGAON,WV,26507,1234567891,,,1831296136,3
2324473,1,,CSW,CLINICAL SOCIAL WORKER,BOB,LEE,,6462 HOSPITAL BLVD,CHICAGO,MS,39402,364974613,,,1780880625,3
2338985,2,,,,,,NORTH COUNTY INTERNISTS MEDICAL CORP,7812 FIRST RD,DALLAS,CA,92064,6685851646,,,1851489728,3
2341137,1,,CSW,CLINICAL SOCIAL WORKER,KIRTI,SHARMA,,8564 BACH RD,SAN JOSE,TX,78240,6854621358,,,1790849032,3
2425073,1,,PHTH,PHYSICAL THERAPY,AMAN,VERMA,,669825 CENTRAL AVE,FORT WORTH,NJ,7974,,,,64978231564,3
2434526,1,,HHPC,HOME HEALTH/PERSONAL CARE,ANGEL,HILL,,9885 RUN DR,BOSTON,OH,45240,7852314698,,,1821207051,3
2314901,2,,,,,,CVS PHARMACY 00560,99999 NUMBER BLVD,LONG BEACH,NY,11362,126789640,BD4737384,,1780782490,3
2356952,1,,DNTR,REGISTERED DIETICIAN,VISHA,LONG,,98236 NE ST,MIAMI,OK,73140,1246798520,,,1801010095,3
2408319,1,,BHAV,BEHAVIORAL HEALTH & SOCIAL SERVICES,VIRAT,KOHLI,,88555 NEAR DR,OAKLAND,MO,63701,254613583,,,1811941420,3
2403871,1,,OCCT,OCCUPATIONAL THERAPY,MICHAL,CLARKE,,88966 STATE ST,PLANO,NC,28711,1.2458E+11,,,1811196371,3
2371222,1,,PHTH,PHYSICAL THERAPY,STEVE,SMITH,,6852 QUEUE AVE,DURHAM,CA,95603,5469852142,,,1801855705,3
2441332,2,,,,,,CVS PHARMACY 07910,89633 SMITH AVE,RENO,CA,93611,5478632145,FL1169552,,1821277344,3
